content_id,content_prompt,category,superclass,parti_challenge,parti_note
parti_000,an F1,Vehicles,vehicles,Basic,
parti_001,parallel lines,Illustrations,illustrations,Basic,Math concepts
parti_002,concentric circles,Illustrations,illustrations,Basic,Math concepts
parti_003,concurrent lines,Illustrations,illustrations,Basic,Math concepts
parti_004,congruent triangles,Illustrations,illustrations,Basic,Math concepts
parti_005,a hot air balloon,Vehicles,vehicles,Basic,
parti_006,a shiba inu,Animals,animals,Basic,
parti_007,an espresso machine,Artifacts,objects,Basic,
parti_008,a propaganda poster,Artifacts,objects,Basic,
parti_009,A bowl of Pho,Food & Beverage,food and beverage,Basic,
parti_010,a snail,Animals,animals,Basic,
parti_011,brain coral,Animals,animals,Basic,
parti_012,a walnut,Produce & Plants,plants and produce,Basic,
parti_013,a capybara,Animals,animals,Basic,
parti_014,a baby penguin,Animals,animals,Basic,
parti_015,a cup of boba,Food & Beverage,food and beverage,Basic,
parti_016,A picture of some food in the plate,Food & Beverage,food and beverage,Basic,VQ-Diffusion
parti_017,a chair,Artifacts,objects,Basic,
parti_018,a hedgehog,Animals,animals,Basic,
parti_019,a corgi,Animals,animals,Basic,
parti_020,a robot,Artifacts,objects,Basic,
parti_021,robots,Artifacts,objects,Basic,
parti_022,a fall landscape,Outdoor Scenes,outdoor scenes,Basic,
parti_023,a sunset,Outdoor Scenes,outdoor scenes,Basic,
parti_024,a boat,Vehicles,vehicles,Basic,
parti_025,a fox,Animals,animals,Basic,
parti_026,a red cube,Illustrations,illustrations,Basic,
parti_027,a panda,Animals,animals,Basic,
parti_028,a space elevator,Artifacts,objects,Basic,GLIDE
parti_029,a city,Outdoor Scenes,outdoor scenes,Basic,
parti_030,a fog,Outdoor Scenes,outdoor scenes,Basic,
parti_031,a clock,Artifacts,objects,Basic,
parti_032,a phone,Artifacts,objects,Basic,
parti_033,food,Food & Beverage,food and beverage,Basic,
parti_034,a store front,Outdoor Scenes,outdoor scenes,Basic,
parti_035,an armchair,Artifacts,objects,Basic,
parti_036,a teapot,Artifacts,objects,Basic,
parti_037,an illustration of a teapot,Artifacts,objects,Basic,DALL-E
parti_038,a tiger,Animals,animals,Basic,
parti_039,a bench,Artifacts,objects,Basic,
parti_040,an orange,Produce & Plants,plants and produce,Basic,
parti_041,a laptop,Artifacts,objects,Basic,
parti_042,an owl,Animals,animals,Basic,
parti_043,a train,Vehicles,vehicles,Basic,
parti_044,a cow,Animals,animals,Basic,
parti_045,a submarine,Vehicles,vehicles,Basic,
parti_046,a whale,Animals,animals,Basic,
parti_047,a t-shirt,Artifacts,objects,Basic,
parti_048,a bowl,Artifacts,objects,Basic,
parti_049,a flag,Artifacts,objects,Basic,
parti_050,a cat,Animals,animals,Basic,
parti_051,a towel,Artifacts,objects,Basic,
parti_052,a wall,Artifacts,objects,Basic,
parti_053,a car,Vehicles,vehicles,Basic,
parti_054,a giraffe,Animals,animals,Basic,
parti_055,an eagle,Animals,animals,Basic,
parti_056,a kangaroo,Animals,animals,Basic,
parti_057,a canal,Outdoor Scenes,outdoor scenes,Basic,
parti_058,lily pads,Produce & Plants,plants and produce,Basic,
parti_059,a street,Outdoor Scenes,outdoor scenes,Basic,
parti_060,a house,Outdoor Scenes,outdoor scenes,Basic,
parti_061,a fish,Animals,animals,Basic,
parti_062,a city intersection,Outdoor Scenes,outdoor scenes,Basic,
parti_063,a circle,Illustrations,illustrations,Basic,
parti_064,a red circle,Illustrations,illustrations,Basic,
parti_065,a box,Illustrations,illustrations,Basic,
parti_066,a yellow box,Illustrations,illustrations,Basic,
parti_067,a red box,Illustrations,illustrations,Basic,
parti_068,a sphere,Illustrations,illustrations,Basic,
parti_069,a red sphere,Illustrations,illustrations,Basic,
parti_070,a large blue box,Illustrations,illustrations,Basic,
parti_071,a blue metallic sphere,Illustrations,illustrations,Basic,
parti_072,a horse,Animals,animals,Basic,
parti_073,a pumpkin,Produce & Plants,plants and produce,Basic,
parti_074,a sword,Artifacts,objects,Basic,
parti_075,a statue,Artifacts,objects,Basic,
parti_076,a logo,Illustrations,illustrations,Basic,
parti_077,a circular logo,Illustrations,illustrations,Basic,
parti_078,a coffee mug,Artifacts,objects,Basic,
parti_079,a pig,Animals,animals,Basic,
parti_080,a squirrel,Animals,animals,Basic,
parti_081,a hammer,Artifacts,objects,Basic,
parti_082,a screwdriver,Artifacts,objects,Basic,
parti_083,a handsaw,Artifacts,objects,Basic,
parti_084,a power drill,Artifacts,objects,Basic,
parti_085,a cocktail,Food & Beverage,food and beverage,Basic,
parti_086,a margarita,Food & Beverage,food and beverage,Basic,
parti_087,an avocado,Produce & Plants,plants and produce,Basic,
parti_088,a kitchen,Indoor Scenes,indoor scenes,Basic,
parti_089,an iPhone case,Artifacts,objects,Basic,
parti_090,a coffee maker,Artifacts,objects,Basic,
parti_091,a banana,Produce & Plants,plants and produce,Basic,
parti_092,a violin,Artifacts,objects,Basic,
parti_093,a room,Indoor Scenes,indoor scenes,Basic,
parti_094,a mountain,Outdoor Scenes,outdoor scenes,Basic,
parti_095,a bird,Animals,animals,Basic,
parti_096,a TV,Artifacts,objects,Basic,
parti_097,a Christmas tree,Artifacts,objects,Basic,
parti_098,a zebra,Animals,animals,Basic,
parti_099,a koi fish,Animals,animals,Basic,
parti_100,a pineapple,Produce & Plants,plants and produce,Basic,
parti_101,a toaster,Artifacts,objects,Basic,
parti_102,a sign,Artifacts,objects,Basic,
parti_103,a red lego block,Artifacts,objects,Basic,
parti_104,teacup,Artifacts,objects,Basic,
parti_105,chair,Artifacts,objects,Basic,
parti_106,waterfall,Outdoor Scenes,outdoor scenes,Basic,
parti_107,a pirate ship,Vehicles,vehicles,Basic,
parti_108,a dragon,Animals,animals,Basic,
parti_109,a present,Artifacts,objects,Basic,
parti_110,a bottle,Artifacts,objects,Basic,
parti_111,a book cover,Illustrations,illustrations,Basic,
parti_112,a sweatshirt,Artifacts,objects,Basic,
parti_113,matching socks,Artifacts,objects,Basic,
parti_114,cash,Artifacts,objects,Basic,
parti_115,a wood cabin,Indoor Scenes,indoor scenes,Basic,
parti_116,a clock tower,Artifacts,objects,Basic,
parti_117,a chimpanzee,Animals,animals,Basic,
parti_118,a hat,Artifacts,objects,Basic,
parti_119,sneakers,Artifacts,objects,Basic,
parti_120,a roast turkey,Food & Beverage,food and beverage,Basic,
parti_121,a turkey,Animals,animals,Basic,
parti_122,a plate,Artifacts,objects,Basic,
parti_123,a ladder,Artifacts,objects,Basic,
parti_124,a Tyrannosaurus Rex,Animals,animals,Basic,
parti_125,a Stegasaurus,Animals,animals,Basic,
parti_126,a Triceratops,Animals,animals,Basic,
parti_127,a Styracosaurus,Animals,animals,Basic,
parti_128,a Diplodocus,Animals,animals,Basic,
parti_129,a yellow sticky note,Artifacts,objects,Basic,
parti_130,a ball,Artifacts,objects,Basic,
parti_131,red balls,Artifacts,objects,Basic,
parti_132,an ostrich,Animals,animals,Basic,
parti_133,a stone path,Outdoor Scenes,outdoor scenes,Basic,
parti_134,a wooden deck,Outdoor Scenes,outdoor scenes,Basic,
parti_135,an F1 race car,Vehicles,vehicles,Basic,
parti_136,a taxi,Vehicles,vehicles,Basic,
parti_137,a road,Outdoor Scenes,outdoor scenes,Basic,
parti_138,a volcano,Outdoor Scenes,outdoor scenes,Basic,
parti_139,a large open book,Artifacts,objects,Basic,
parti_140,a living room,Indoor Scenes,indoor scenes,Basic,
parti_141,an elephant,Animals,animals,Basic,
parti_142,a tree,Produce & Plants,plants and produce,Basic,
parti_143,a dolphin,Animals,animals,Basic,
parti_144,a rowboat,Vehicles,vehicles,Basic,
parti_145,a crown,Artifacts,objects,Basic,
parti_146,a pick-up truck,Vehicles,vehicles,Basic,
parti_147,a key,Artifacts,objects,Basic,
parti_148,a goat,Animals,animals,Basic,
parti_149,a chest,Artifacts,objects,Basic,
parti_150,a coffee table,Artifacts,objects,Basic,
parti_151,toy cars,Artifacts,objects,Basic,
parti_152,a bookshelf,Artifacts,objects,Basic,
parti_153,the moon,Outdoor Scenes,outdoor scenes,Basic,
parti_154,the Earth,Outdoor Scenes,outdoor scenes,Basic,
parti_155,the planet Jupiter,Outdoor Scenes,outdoor scenes,Basic,
parti_156,a tornado,Outdoor Scenes,outdoor scenes,Basic,
parti_157,a tidal wave,Outdoor Scenes,outdoor scenes,Basic,
parti_158,a laptop screen,Artifacts,objects,Basic,
parti_159,an airplane,Vehicles,vehicles,Basic,
parti_160,a butterfly,Animals,animals,Basic,
parti_161,a lizard,Animals,animals,Basic,
parti_162,a turtle,Animals,animals,Basic,
parti_163,an octopus,Animals,animals,Basic,
parti_164,a book,Artifacts,objects,Basic,
parti_165,a moose,Animals,animals,Basic,
parti_166,a doorknocker,Artifacts,objects,Basic,
parti_167,a rabbit,Animals,animals,Basic,
parti_168,orange juice,Food & Beverage,food and beverage,Basic,
parti_169,a green pepper,Food & Beverage,food and beverage,Basic,
parti_170,beer,Food & Beverage,food and beverage,Basic,
parti_171,a pickup truck,Vehicles,vehicles,Basic,
parti_172,a shoe,Artifacts,objects,Basic,
parti_173,a plant,Produce & Plants,plants and produce,Basic,
parti_174,a flower,Produce & Plants,plants and produce,Basic,
parti_175,a pair of headphones,Artifacts,objects,Basic,
parti_176,a chemtrail,Outdoor Scenes,outdoor scenes,Basic,
parti_177,a tennis court,Outdoor Scenes,outdoor scenes,Basic,
parti_178,a ceiling fan,Indoor Scenes,indoor scenes,Basic,
parti_179,a fire hydrant,Artifacts,objects,Basic,
parti_180,a wooden post,Artifacts,objects,Basic,
parti_181,a trash bin,Artifacts,objects,Basic,
parti_182,a piano,Artifacts,objects,Basic,
parti_183,a musical note,Illustrations,illustrations,Basic,
parti_184,a harp,Artifacts,objects,Basic,
parti_185,a tuba,Artifacts,objects,Basic,
parti_186,a windmill,Outdoor Scenes,outdoor scenes,Basic,
parti_187,a motorcycle,Vehicles,vehicles,Basic,
parti_188,a painting of black and white,Illustrations,illustrations,Basic,
parti_189,a marina,Outdoor Scenes,outdoor scenes,Basic,
