style_id,figure10_index,style_name,style_descriptor,style_reference_image,source_image,used_for_quantitative_eval_in_paper,source_note
style_01,1,colorful origami,colorful origami,styles/style_01_colorful_origami.png,styles/style_01_colorful_origami.png,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_02,2,3d rendering,3d rendering,styles/style_02_3d_rendering.png,styles/style_02_3d_rendering.png,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_03,3,northern renaissance art,northern renaissance art,styles/style_03_northern_renaissance_art.png,styles/style_03_northern_renaissance_art.png,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_04,4,kid crayon drawing,kid crayon drawing,styles/style_04_kid_crayon_drawing.png,styles/style_04_kid_crayon_drawing.png,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_05,5,oil painting style,oil painting style,styles/style_05_oil_painting_style.png,styles/style_05_oil_painting_style.png,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_06,6,matte textured 3d rendering,matte textured 3d rendering,styles/style_06_matte_textured_3d_rendering.png,styles/style_06_matte_textured_3d_rendering.png,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_07,7,watercolor painting,watercolor painting,styles/style_07_watercolor_painting.png,styles/style_07_watercolor_painting.png,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_08,8,claymation,claymation,styles/style_08_claymation.png,styles/style_08_claymation.png,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_09,9,cartoon style illustration,cartoon style illustration,styles/style_09_cartoon_style_illustration.png,styles/style_09_cartoon_style_illustration.png,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_10,10,glowing neon,glowing neon,styles/style_10_glowing_neon.png,styles/style_10_glowing_neon.png,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_11,11,intricate line-art illustration,intricate line-art illustration,styles/style_11_intricate_line_art_illustration.png,styles/style_11_intricate_line_art_illustration.png,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_12,12,geometric flat illustration,geometric flat illustration,styles/style_12_geometric_flat_illustration.png,styles/style_12_geometric_flat_illustration.png,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_13,13,metallic 3D rendering,metallic 3D rendering,styles/style_13_metallic_3d_rendering.png,styles/style_13_metallic_3d_rendering.png,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_14,14,neon splash comic art,neon splash comic art,styles/style_14_neon_splash_comic_art.png,styles/style_14_neon_splash_comic_art.png,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_15,15,architectural line art,architectural line art,styles/style_15_architectural_line_art.png,styles/style_15_architectural_line_art.png,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_16,16,retro sci-fi graphic,retro sci-fi graphic,styles/style_16_retro_sci_fi_graphic.png,styles/style_16_retro_sci_fi_graphic.png,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_17,17,flat cartoon vector art,flat cartoon vector art,styles/style_17_flat_cartoon_vector_art.png,styles/style_17_flat_cartoon_vector_art.png,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_18,18,matte and worn out textured wooden sculpture,matte and worn out textured wooden sculpture,styles/style_18_matte_and_worn_out_textured_wooden_sculpture.png,styles/style_18_matte_and_worn_out_textured_wooden_sculpture.png,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_19,19,melting golden 3d rendering,melting golden 3d rendering,styles/style_19_melting_golden_3d_rendering.png,styles/style_19_melting_golden_3d_rendering.png,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_20,20,oil painting style,oil painting style,styles/style_20_oil_painting_style.png,styles/style_20_oil_painting_style.png,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
style_21,21,short line drawing,short line drawing,styles/style_21_short_line_drawing.png,styles/style_21_short_line_drawing.png,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family"
